tier,item
1,Topf
1,Pfanne
1,Kessel
1,Becher
1,Dose
1,Thermos
1,Besteck
1,Schüssel
1,Tablett
1,Laterne
1,Tür
1,Schloss
1,Scharnier
1,Rohr
1,Ventil
1,Radiator
1,Briefkasten
1,Glocke
1,Kette
1,Anker
1,Helm
1,Schild
1,Rüstung
1,Käfig
1,Stativ
1,Spiegelrahmen
1,Fenstergitter
1,Metallstuhl
1,Metalltisch
1,Metallregal
2,Ventilator
2,Mikrowelle
2,Kühlschrank
2,Waschmaschine
2,Geschirrspüler
2,Wasserkocher
2,Toaster
2,Mixer
2,Rasierer
2,Haartrockner
2,Lautsprecher
2,Fernseher
2,Radio
2,Projektor
2,Beamer
2,Konsole
2,Laptop
2,Tablet
2,Smartphone
2,Smartwatch
2,Router
2,Kamera
2,Drohnencam
2,Headset
2,Controller
2,Dashcam
2,Streamingbox
2,Soundbar
2,Radiowecker
2,Fitnessband
3,Saugroboter
3,Rasenroboter
3,Fensterroboter
3,Poolroboter
3,Servierroboter
3,Assistenzdrohne
3,Lieferdrohne
3,Flugtaxi
3,Elektrofahrrad
3,Elektroroller
3,Elektroauto
3,Elektromotorrad
3,Hoverboard
3,Elektroskateboard
3,Rollstuhl
3,Massagesessel
3,Solarpanel
3,Solarfenster
3,Stromspeicher
3,Feststoffbatterie
3,Wärmepumpe
3,Luftreiniger
3,Wasserfilter
3,Klimaanlage
3,Heizdecke
3,Induktionsfeld
3,Mediahub
3,Türkamera
3,Videoklingel
3,Projektorlampe
4,VRHeadset
4,ARBrille
4,Exoskelett
4,Hologrammprojektor
4,Hologrammtelefon
4,Hologrammkonsole
4,Hologrammdisplay
4,Neurointerface
4,Gehirnimplantat
4,Herzimplantat
4,Biosensor
4,Gesundheitsscanner
4,Körperscanner
4,Telepräsenzroboter
4,Haushaltsandroid
4,Servicedrohne
4,Begleitroboter
4,Pflegeassistent
4,Quantenrouter
4,Datenspeicher
4,Energiezelle
4,Nanofilter
4,Klimakuppel
4,Raumprojektor
4,Virtuarium
4,Holodeck
4,Teleportkonsole
4,Orbitalkapsel
4,Raumgleiter
4,Sternensonde
