tier,item
1,Apfelmus
1,Birnensaft
1,Karottenbrei
1,Haferkeks
1,Beerenriegel
1,Nussmix
1,Honigdrop
1,Kräutertee
1,Pilzsnack
1,Dinkelbrot
1,Tomatenmark
1,Gurkensalat
1,Mangopaste
1,Mandeldrink
1,Kakaonibs
1,Zwiebelsuppe
1,Linseneintopf
1,Pflaumenmus
1,Apfelchips
1,Roggencracker
1,Kürbispaste
1,Erbsensnack
1,Bohnensalat
1,Kohlröllchen
1,Radieschenmix
1,Basilikumpesto
1,Himbeerpüree
1,Walnussmus
1,Gerstenbrei
1,Kartoffelbissen
2,Algenriegel
2,Quinoahappen
2,Kicherbiss
2,Mandeljoghurt
2,Sojawürfel
2,Dattelcreme
2,Sesamkrokant
2,Ingwershot
2,Kokosbissen
2,Cashewmus
2,Amaranthpuff
2,Chiasnack
2,Lupinenbrot
2,Hanfkeks
2,Agavendrink
2,Beerenquark
2,Limettengelee
2,Paprikachutney
2,Currypaste
2,Avocadocreme
2,Granatapfelsaft
2,Kurkumariegel
2,Pistazienmix
2,Feigenmus
2,Macadamiabissen
2,Sanddornsaft
2,Buchweizencracker
2,Johannisgel
2,Pfirsichmark
2,Zimtgranulat
3,Proteingel
3,Algenpaste
3,Pilzjerky
3,Nussprotein
3,Beerenkonzentrat
3,Gemüseextrakt
3,Fermentdrink
3,Vitalbrei
3,Kräuterelixier
3,Samenriegel
3,Sprossenmix
3,Pflanzenquark
3,Hanfjoghurt
3,Linsenprotein
3,Kicherpaste
3,Fruchtessenz
3,Wurzelextrakt
3,Blütengelee
3,Moosriegel
3,Tannensirup
3,Beerenkapsel
3,Gemüsekonzentrat
3,Pilzprotein
3,Samenmus
3,Algencracker
3,Nussessenz
3,Fermentriegel
3,Kräuterpaste
3,Wurzelbrei
3,Blattkonzentrat
4,Zellfleisch
4,Algenprotein
4,Nährgel
4,Synthbrei
4,Bioessenz
4,Pflanzenelixier
4,Mikrogrün
4,Nutripaste
4,Vitalgel
4,Fermentessenz
4,Proteinkapsel
4,Beerenelixier
4,Pilzessenz
4,Samenelixier
4,Nussgel
4,Fruchtkapsel
4,Gemüseelixier
4,Algenelixier
4,Kräuteressenz
4,Wurzelelixier
4,Blütenelixier
4,Moosessenz
4,Tropfgel
4,Zellpaste
4,Nährkonzentrat
4,Biogel
4,Pflanzenkonzentrat
4,Fermentkapsel
4,Proteinessenz
4,Vitalessenz
