id,tier
topf,1
pfanne,1
kessel,1
becher,1
dose,1
thermos,1
besteck,1
schuessel,1
tablett,1
laterne,1
tuer,1
schloss,1
scharnier,1
rohr,1
ventil,1
radiator,1
briefkasten,1
glocke,1
kette,1
anker,1
helm,1
schild,1
ruestung,1
kaefig,1
stativ,1
spiegelrahmen,1
fenstergitter,1
metallstuhl,1
metalltisch,1
metallregal,1
ventilator,2
mikrowelle,2
kuehlschrank,2
waschmaschine,2
geschirrspueler,2
wasserkocher,2
toaster,2
mixer,2
rasierer,2
haartrockner,2
lautsprecher,2
fernseher,2
radio,2
projektor,2
beamer,2
konsole,2
laptop,2
tablet,2
smartphone,2
smartwatch,2
router,2
kamera,2
drohnencam,2
headset,2
controller,2
dashcam,2
streamingbox,2
soundbar,2
radiowecker,2
fitnessband,2
saugroboter,3
rasenroboter,3
fensterroboter,3
poolroboter,3
servierroboter,3
assistenzdrohne,3
lieferdrohne,3
flugtaxi,3
elektrofahrrad,3
elektroroller,3
elektroauto,3
elektromotorrad,3
hoverboard,3
elektroskateboard,3
rollstuhl,3
massagesessel,3
solarpanel,3
solarfenster,3
stromspeicher,3
feststoffbatterie,3
waermepumpe,3
luftreiniger,3
wasserfilter,3
klimaanlage,3
heizdecke,3
induktionsfeld,3
mediahub,3
tuerkamera,3
videoklingel,3
projektorlampe,3
vrheadset,4
arbrille,4
exoskelett,4
hologrammprojektor,4
hologrammtelefon,4
hologrammkonsole,4
hologrammdisplay,4
neurointerface,4
gehirnimplantat,4
herzimplantat,4
biosensor,4
gesundheitsscanner,4
koerperscanner,4
telepraesenzroboter,4
haushaltsandroid,4
servicedrohne,4
begleitroboter,4
pflegeassistent,4
quantenrouter,4
datenspeicher,4
energiezelle,4
nanofilter,4
klimakuppel,4
raumprojektor,4
virtuarium,4
holodeck,4
teleportkonsole,4
orbitalkapsel,4
raumgleiter,4
sternensonde,4
