id,tier
apfelmus,1
birnensaft,1
karottenbrei,1
haferkeks,1
beerenriegel,1
nussmix,1
honigdrop,1
kraeutertee,1
pilzsnack,1
dinkelbrot,1
tomatenmark,1
gurkensalat,1
mangopaste,1
mandeldrink,1
kakaonibs,1
zwiebelsuppe,1
linseneintopf,1
pflaumenmus,1
apfelchips,1
roggencracker,1
kuerbispaste,1
erbsensnack,1
bohnensalat,1
kohlroellchen,1
radieschenmix,1
basilikumpesto,1
himbeerpueree,1
walnussmus,1
gerstenbrei,1
kartoffelbissen,1
algenriegel,2
quinoahappen,2
kicherbiss,2
mandeljoghurt,2
sojawuerfel,2
dattelcreme,2
sesamkrokant,2
ingwershot,2
kokosbissen,2
cashewmus,2
amaranthpuff,2
chiasnack,2
lupinenbrot,2
hanfkeks,2
agavendrink,2
beerenquark,2
limettengelee,2
paprikachutney,2
currypaste,2
avocadocreme,2
granatapfelsaft,2
kurkumariegel,2
pistazienmix,2
feigenmus,2
macadamiabissen,2
sanddornsaft,2
buchweizencracker,2
johannisgel,2
pfirsichmark,2
zimtgranulat,2
proteingel,3
algenpaste,3
pilzjerky,3
nussprotein,3
beerenkonzentrat,3
gemueseextrakt,3
fermentdrink,3
vitalbrei,3
kraeuterelixier,3
samenriegel,3
sprossenmix,3
pflanzenquark,3
hanfjoghurt,3
linsenprotein,3
kicherpaste,3
fruchtessenz,3
wurzelextrakt,3
bluetengelee,3
moosriegel,3
tannensirup,3
beerenkapsel,3
gemuesekonzentrat,3
pilzprotein,3
samenmus,3
algencracker,3
nussessenz,3
fermentriegel,3
kraeuterpaste,3
wurzelbrei,3
blattkonzentrat,3
zellfleisch,4
algenprotein,4
naehrgel,4
synthbrei,4
bioessenz,4
pflanzenelixier,4
mikrogruen,4
nutripaste,4
vitalgel,4
fermentessenz,4
proteinkapsel,4
beerenelixier,4
pilzessenz,4
samenelixier,4
nussgel,4
fruchtkapsel,4
gemueseelixier,4
algenelixier,4
kraeuteressenz,4
wurzelelixier,4
bluetenelixier,4
moosessenz,4
tropfgel,4
zellpaste,4
naehrkonzentrat,4
biogel,4
pflanzenkonzentrat,4
fermentkapsel,4
proteinessenz,4
vitalessenz,4
