id,name
arcanum,Arcanum
auralum,Auralum
brontum,Brontum
cindrum,Cindrum
crysum,Crysum
draconum,Draconum
dravium,Dravium
durum,Durum
eldrum,Eldrum
eternum,Eternum
flarum,Flarum
galvium,Galvium
glacium,Glacium
hadrum,Hadrum
heliorum,Heliorum
ignirum,Ignirum
jadum,Jadum
jovium,Jovium
kaldum,Kaldum
krytonum,Krytonum
loricum,Loricum
luminum,Luminum
magnalum,Magnalum
mythrum,Mythrum
nexium,Nexium
nobilum,Nobilum
obscurum,Obscurum
orichalum,Orichalum
pallidum,Pallidum
pyronum,Pyronum
quantium,Quantium
quorinum,Quorinum
radianum,Radianum
rutilum,Rutilum
solarium,Solarium
stellum,Stellum
terralum,Terralum
titanum,Titanum
ultimum,Ultimum
umbrium,Umbrium
vibranium,Vibranium
vortum,Vortum
wolframum,Wolframum
wyrium,Wyrium
xenorium,Xenorium
xylium,Xylium
yarvum,Yarvum
yttrium,Yttrium
zornium,Zornium
zyrium,Zyrium
